Position,Const,Created,Modified,Description,Name,Known For,Birth Date
42,nm0005056,2014-05-06,2014-05-06,,Elton John,Kingsman: The Golden Circle,1947-03-25
43,nm1401980,2014-05-06,2014-05-06,,The Doors,The Doors,
44,nm0969139,2014-05-06,2014-05-06,,Pink Floyd,Tang shan da xiong,
45,nm0819803,2014-05-06,2014-05-06,,Bruce Springsteen,Blinded by the Light,1949-09-23
46,nm2045052,2014-05-06,2014-05-06,,Creedence Clearwater Revival,Battleship,
47,nm2065073,2014-05-06,2014-05-06,,Santana,The Long Kiss Goodnight,
48,nm1393605,2014-05-06,2014-05-06,,Fleetwood Mac,Guardians of the Galaxy Vol. 2,
49,nm1949500,2014-05-06,2014-05-06,,Genesis,Palm Springs,
50,nm0496389,2014-05-06,2014-05-06,,Led Zeppelin,The Song Remains the Same,
51,nm1277292,2014-05-06,2014-05-06,,Black Sabbath,Iron Man,
52,nm0001391,2014-05-06,2014-05-06,,Michael Jackson,Michael Jackson: Thriller,1958-08-29
53,nm3746374,2014-05-06,2014-05-06,Parliament-Funkadelic,Parliament Funkadelic,Funk Wars,
54,nm0697333,2014-05-06,2014-05-06,,Judas Priest,Godzilla vs. Kong,
55,nm0012613,2014-05-06,2014-05-06,,Aerosmith,Armageddon,
56,nm0004845,2014-05-06,2014-05-06,,Elvis Costello,Austin Powers: The Spy Who Shagged Me,1954-08-25
57,nm2057469,2014-05-06,2014-05-06,,Hall & Oates,Pixels,
58,nm1436137,2014-05-06,2014-05-06,,Kraftwerk,Control,
59,nm1277102,2014-05-06,2014-05-06,,Queen,Flash Gordon,
60,nm0247451,2014-05-06,2014-05-06,,Earth Wind & Fire,Ready Player One,
61,nm1478123,2014-05-06,2014-05-06,,Eagles,Shang-Chi and the Legend of the Ten Rings,
62,nm1663666,2014-05-06,2014-05-06,,Van Halen,Spaceballs,
63,nm0009540,2014-05-06,2014-05-06,,AC/DC,Iron Man,
64,nm1653348,2014-05-06,2014-05-06,,KISS,The Nice Guys,
65,nm1341522,2014-05-06,2014-05-06,,Blondie,Super 8,
66,nm1797465,2014-05-06,2014-05-06,,Sex Pistols,The A-Team,
67,nm0848088,2014-05-06,2014-05-06,,Talking Heads,Spider-Man: No Way Home,
68,nm1442043,2014-05-06,2014-05-06,,Iron Maiden,Fighting with My Family,
69,nm1502648,2014-05-06,2014-05-06,,The Clash,Grosse Pointe Blank,
70,nm0002239,2014-05-06,2014-05-06,,Prince,Under the Cherry Moon,1958-06-07
71,nm1277752,2014-05-06,2014-05-06,,U2,Morning Joe,
72,nm1932067,2014-05-06,2014-05-06,,The Police,Red Planet,
73,nm0001365,2014-05-06,2014-05-06,,Whitney Houston,The Bodyguard,1963-08-09
74,nm1655043,2014-05-06,2014-05-06,,Def Leppard,Last Action Hero,
75,nm0000187,2014-05-06,2014-05-06,,Madonna,A League of Their Own,1958-08-16
76,nm1172032,2014-05-06,2014-05-06,,Eurythmics,Black Mirror: Bandersnatch,
77,nm1032121,2014-05-06,2014-05-06,,R.E.M.,Man on the Moon,
78,nm0220058,2014-05-06,2014-05-06,,Depeche Mode,Aquaman,
79,nm1505820,2014-05-06,2014-05-06,,Run-D.M.C.,Die Hard,
80,nm0031045,2014-05-06,2014-05-06,,Anthrax,Last Action Hero,
81,nm1561997,2014-05-06,2014-05-06,,Beastie Boys,Real Steel,
82,nm0582376,2014-05-06,2014-05-06,,Metallica,Mission: Impossible II,
83,nm1640112,2014-05-06,2014-05-06,,Slayer,Law Abiding Citizen,
84,nm2162228,2014-05-06,2014-05-06,,Public Enemy,Do the Right Thing,
85,nm1655103,2014-05-06,2014-05-06,,Megadeth,Mortal Kombat: Annihilation,
86,nm1655276,2014-05-06,2014-05-06,,Guns N' Roses,Body of Lies,
87,nm1955602,2014-05-06,2014-05-06,,Radiohead,Children of Men,
88,nm6397931,2014-05-06,2014-05-06,,NWA,New Jack City,
89,nm1110321,2014-05-06,2014-05-06,,Nirvana,The Batman,
90,nm0000637,2014-05-06,2014-05-06,,Tupac Shakur,Juice,1971-06-16
91,nm0419650,2014-05-06,2014-05-06,,Jay-Z,The Harder They Fall,1969-12-04
92,nm0004896,2014-05-06,2014-05-06,,Eminem,8 Mile,1972-10-17
93,nm2149824,2014-05-06,2014-05-06,,Pearl Jam,Big Fish,
94,nm0857263,2014-05-06,2014-05-06,,The Notorious B.I.G.,Notorious,1972-05-21
95,nm1642036,2014-05-06,2014-05-06,,Outkast,Flight of the Phoenix,
96,nm0005493,2014-05-06,2014-05-06,,Justin Timberlake,Trolls,1981-01-31
97,nm1565895,2014-05-06,2014-05-06,,Wu-Tang Clan,Nerve,
98,nm1561881,2014-05-06,2014-05-06,,Amy Winehouse,Amy,1983-09-14
99,nm1386916,2014-05-06,2014-05-06,,Daft Punk,Tron,
100,nm1454411,2014-05-06,2014-05-06,,Foo Fighters,Godzilla,
