Position,Const,Created,Modified,Description,Name,Known For,Birth Date
48,nm2400930,2014-08-08,2014-08-08,,Lupe Fiasco,Taken,1981-02-17
49,nm2061923,2020-02-15,2020-02-15,,Jeezy,Worth a Conversation,1977-09-28
50,nm1252067,2014-08-08,2014-08-08,,Talib Kweli,Superbad,1975-10-03
51,nm0092216,2014-08-08,2014-08-08,,Big Boi,Idlewild,1975-02-01
52,nm0706095,2014-08-08,2014-08-08,,Raekwon,The Man with the Iron Fists,1970-01-12
53,nm0700570,2014-08-08,2014-08-08,,Big Pun,That Awkward Moment,1971-11-09
54,nm0005354,2014-08-08,2014-08-08,,Busta Rhymes,Halloween: Resurrection,1972-05-20
55,nm0188025,2014-08-08,2014-08-08,,Anthony 'Treach' Criss,Feast,1970-12-02
56,nm1892616,2014-08-08,2014-08-08,,Masta Ace,Kids,
57,nm0702580,2014-08-08,2014-08-08,,Q-Tip,The Great Gatsby,1970-04-10
58,nm1675555,2020-02-15,2020-02-15,,Twista,Men in Black: International,1973-11-27
59,nm1623625,2020-02-15,2020-02-15,,Rick Ross,Suicide Squad,1976-01-28
60,nm0692629,2014-08-08,2014-08-08,,Posdnuos,National Lampoon's Van Wilder,1969-08-17
61,nm1437124,2014-08-08,2014-08-08,,Prodigy,Bulworth,1974-11-02
62,nm0209371,2014-08-08,2014-08-08,,Zack De La Rocha,The Matrix,1970-01-12
63,nm1966128,2020-02-15,2020-02-15,,Killer Mike,Venom,1975-04-20
64,nm1472801,2014-08-08,2014-08-08,,Bun B,2 Fast 2 Furious,
65,nm2994474,2020-02-15,2020-02-15,,Eight Ball,2 Fast 2 Furious,
66,nm0133974,2014-08-08,2014-08-08,,Canibus,Bulworth,1974-12-09
67,nm0223092,2014-08-08,2014-08-08,,Kool Moe Dee,Wild Wild West,1962-08-08
68,nm1253405,2014-08-08,2014-08-08,,Pusha T,Death Race,1977-05-13
69,nm1603747,2014-08-08,2014-08-08,,Gift of Gab,Spider-Man: Into the Spider-Verse,1971-10-07
70,nm1667139,2014-08-08,2014-08-08,,Game,Street Kings,1979-11-29
71,nm1855137,2014-08-08,2014-08-08,,Tech N9ne,Alpha Dog,1971-11-08
72,nm1291089,2014-08-08,2014-08-08,,Ol' Dirty Bastard,Bulworth,1968-11-15
73,nm0548475,2014-08-08,2014-08-08,,Biz Markie,Men in Black II,1964-04-08
74,nm0196117,2014-08-08,2014-08-08,,Fat Joe,Happy Feet,1970-08-19
75,nm0001451,2014-08-08,2014-08-08,,Queen Latifah,Chicago,1970-03-18
76,nm1588782,2014-08-08,2014-08-08,,Immortal Technique,The Brave One,1978-03-31
77,nm3977201,2014-08-08,2014-08-08,,One Be Lo,One Be Lo: Bars and Be Yawned (Son Shine and Reign),
78,nm0857260,2014-08-08,2014-08-08,,Guru,Training Day,1961-07-17
79,nm2255973,2014-08-08,2014-08-08,,Donald Glover,Solo: A Star Wars Story,1983-09-25
80,nm0476097,2014-08-08,2014-08-08,,Kurupt,Hollywood Homicide,1972-11-23
81,nm1379451,2020-02-15,2020-02-15,,Joe Budden,Fast Five,1980-08-31
82,nm1995400,2020-02-15,2020-02-15,,Styles P,Exit Wounds,1974-11-28
83,nm1950817,2014-08-08,2014-08-08,,Brother Ali,The Great White Hoax,
84,nm5362567,2014-08-08,2014-08-08,,Macklemore,Tammy,1983-06-19
85,nm0004835,2020-02-15,2020-02-15,,Sean 'Diddy' Combs,Get Him to the Greek,1969-11-04
86,nm0124853,2020-02-15,2020-02-15,,Pimp C,2 Fast 2 Furious,1973-12-29
87,nm0246985,2020-02-15,2020-02-15,,E-40,The Big Hit,1967-11-15
88,nm0790001,2020-02-15,2020-02-15,,Too $hort,Black Panther,1966-04-28
89,nm0005290,2020-02-15,2020-02-15,,Master P,Hollywood Homicide,1970-04-29
90,nm3042771,2020-02-15,2020-02-15,,Gucci Mane,Spring Breakers,1980-02-12
91,nm5412990,2020-02-15,2020-02-15,,Future,Fast & Furious 7,1983-11-20
92,nm0428591,2020-02-15,2020-02-15,,Lil' Kim,You Got Served,1974-07-11
93,nm0556234,2020-02-15,2020-02-15,,Mase,Money Talks,1974-08-27
94,nm2476119,2020-02-15,2020-02-15,,Stack Bundles,Access Granted,1982-10-21
95,nm3747326,2020-02-15,2020-02-15,,Nicki Minaj,The Other Woman,1982-12-08
96,nm4049674,2020-02-15,2020-02-15,,Meek Mill,Bright,1987-05-06
97,nm2596169,2020-02-15,2020-02-15,,Nipsey Hussle,Project Power,1985-08-15
98,nm0132687,2020-02-15,2020-02-15,,Luther Campbell,New Jack City,1960-12-22
99,nm1544017,2020-02-15,2020-02-15,,Lloyd Banks,Fantastic Four,1982-04-30
100,nm1391984,2020-02-15,2020-02-15,,Kool Keith,Blade: Trinity,1963-10-19
